Expected Output    Received Output   Remarks
============================================
00000000    00000000   Success
00000001    00000001   Success
00000010    00000010   Success
00000011    00000011   Success
00000100    00000100   Success
00000101    00000101   Success
00000110    00000110   Success
00001110    00001110   Success
00001111    00001111   Success
00010000    00010000   Success
00010001    00010001   Success
00010010    00010010   Success
00010011    00010011   Success
00000101    00000101   Success
00000100    00000100   Success
00000011    00000011   Success
00000010    00000010   Success
00000001    00000001   Success
00000000    00000000   Success
11111110    11111110   Success
11111101    11111101   Success
11111100    11111100   Success
11111011    11111011   Success
11111010    11111010   Success
11111001    11111001   Success
11111000    11111000   Success
11110111    11110111   Success
11110110    11110110   Success
00110100    00110100   Success
00011010    00011010   Success
00001101    00001101   Success
00000110    00000110   Success
00000011    00000011   Success
00000001    00000001   Success
00000000    00000000   Success
01101001    01101001   Success
00110100    00110100   Success
00011010    00011010   Success
00001101    00001101   Success
11101000    11101000   Success
11010000    11010000   Success
10100000    10100000   Success
01000000    01000000   Success
10000000    10000000   Success
11111110    11111110   Success
11111100    11111100   Success
11111000    11111000   Success
11110000    11110000   Success
11100000    11100000   Success
